class_id,class_name,support,predicted,precision,recall,f1
383,Open door,0,1,0.0,0.0,0.0
384,Walk through doorway,0,4,0.0,0.0,0.0
385,Pick up object,0,0,0.0,0.0,0.0
386,Place item on table,0,4,0.0,0.0,0.0
387,Move phone,39,2,0.0,0.0,0.0
388,Pick up paper star,0,1,0.0,0.0,0.0
389,Sort and place paper star,0,0,0.0,0.0,0.0
390,Place knife down,0,0,0.0,0.0,0.0
391,Align cardboard strip,0,0,0.0,0.0,0.0
392,Hold cardboard with ruler,0,0,0.0,0.0,0.0
393,Move utility knife along ruler,0,0,0.0,0.0,0.0
394,Slide utility knife along ruler,0,0,0.0,0.0,0.0
395,Guide utility knife along ruler,0,0,0.0,0.0,0.0
396,Draw line on cardboard,0,0,0.0,0.0,0.0
397,Marking lines on cardboard,0,0,0.0,0.0,0.0
398,Hold craft tool,0,14,0.0,0.0,0.0
399,Approach table,0,5,0.0,0.0,0.0
400,Place tool on table,0,2,0.0,0.0,0.0
401,Move hand toward craft materials,0,20,0.0,0.0,0.0
402,Arrange paper strips,0,4,0.0,0.0,0.0
403,Manipulate paper strips,0,55,0.0,0.0,0.0
404,Pick up blue paper strip,0,5,0.0,0.0,0.0
405,Hold and bend paper strip,0,9,0.0,0.0,0.0
406,Hold small object,0,1,0.0,0.0,0.0
407,Place down strip,0,4,0.0,0.0,0.0
408,Move hand away from workspace,0,3,0.0,0.0,0.0
409,Observe workspace,12,24,0.0,0.0,0.0
410,Place puzzle piece,26,77,0.025974025974025976,0.07692307692307693,0.03883495145631068
411,Release puzzle piece,11,10,0.1,0.09090909090909091,0.09523809523809525
412,Scan for next piece,0,17,0.0,0.0,0.0
413,Search for puzzle piece,23,2,0.0,0.0,0.0
414,Positioning puzzle piece,0,13,0.0,0.0,0.0
415,Manipulate puzzle pieces,35,27,0.0,0.0,0.0
416,Move puzzle piece,0,12,0.0,0.0,0.0
417,Adjust puzzle piece,16,124,0.12096774193548387,0.9375,0.21428571428571425
418,Adjusting puzzle piece,0,4,0.0,0.0,0.0
419,Adjusting a puzzle piece,0,0,0.0,0.0,0.0
420,Draw line along ruler,0,0,0.0,0.0,0.0
421,Reposition ruler,0,0,0.0,0.0,0.0
422,Lift pen and shift ruler,0,0,0.0,0.0,0.0
423,Hold ruler and pen steady,0,0,0.0,0.0,0.0
424,Moving ruler,0,4,0.0,0.0,0.0
425,Mark lines on cardboard,0,0,0.0,0.0,0.0
426,Cap marker,0,4,0.0,0.0,0.0
427,Walk across the room,0,0,0.0,0.0,0.0
428,Approach packing area,0,0,0.0,0.0,0.0
429,Pack beads into box,0,0,0.0,0.0,0.0
430,Pick up beads,0,1,0.0,0.0,0.0
431,Deposit beads into box,0,0,0.0,0.0,0.0
432,Pick up cardboard tray,0,0,0.0,0.0,0.0
433,Move tray towards packing area,0,1,0.0,0.0,0.0
434,Reach for beads,0,39,0.0,0.0,0.0
435,Position cardboard tray,0,0,0.0,0.0,0.0
436,Hold beads,19,0,0.0,0.0,0.0
437,Combine bead piles,0,0,0.0,0.0,0.0
438,Cut light green fabric,0,0,0.0,0.0,0.0
439,Continue cutting fabric,0,1,0.0,0.0,0.0
440,Cut fabric with scissors,0,1,0.0,0.0,0.0
441,Adjusting fabric for cutting,0,0,0.0,0.0,0.0
442,Adjusting fabric position,0,0,0.0,0.0,0.0
443,Cutting fabric,0,2,0.0,0.0,0.0
444,Mark fabric with pen,0,0,0.0,0.0,0.0
445,Mark fabric,0,5,0.0,0.0,0.0
446,Mark fabric with pen and ruler,0,0,0.0,0.0,0.0
447,Pick up new cardboard piece,22,0,0.0,0.0,0.0
448,Gather cardboard pieces,0,1,0.0,0.0,0.0
449,Carry cardboard piece,0,0,0.0,0.0,0.0
450,Pick up electronic accessory from box,0,0,0.0,0.0,0.0
451,Hold electronic accessory,0,0,0.0,0.0,0.0
452,Place accessory on shelf,0,0,0.0,0.0,0.0
453,Pick up accessory,0,0,0.0,0.0,0.0
454,Reach towards shelf,0,0,0.0,0.0,0.0
455,Pick up electronic accessory,0,0,0.0,0.0,0.0
456,Place accessory into box,0,0,0.0,0.0,0.0
457,Place accessory box,0,0,0.0,0.0,0.0
458,Pick up new electronic product,0,0,0.0,0.0,0.0
459,Pick up electronic product,0,0,0.0,0.0,0.0
460,Release product on shelf,0,0,0.0,0.0,0.0
461,Move hand back to box,0,0,0.0,0.0,0.0
462,Pick up new product from box,0,0,0.0,0.0,0.0
463,Move product towards shelf,0,0,0.0,0.0,0.0
464,Pick up shopping bag,0,0,0.0,0.0,0.0
465,Walk with shopping bag,0,0,0.0,0.0,0.0
466,Pick up item from box,0,0,0.0,0.0,0.0
467,Move to shelf,9,2,1.0,0.2222222222222222,0.3636363636363636
468,Move towards box,0,5,0.0,0.0,0.0
469,Hold items,0,6,0.0,0.0,0.0
470,Place items on shelf,0,3,0.0,0.0,0.0
471,Move to box,0,0,0.0,0.0,0.0
472,Move box to next position,0,4,0.0,0.0,0.0
473,Grasp snack package,0,0,0.0,0.0,0.0
474,Hold snack package,0,0,0.0,0.0,0.0
475,Place snack package on shelf,0,0,0.0,0.0,0.0
476,Place snack package in box,0,0,0.0,0.0,0.0
477,Place snack in box,0,10,0.0,0.0,0.0
478,Hold snack packages,0,0,0.0,0.0,0.0
479,Place snack packages on shelf,0,16,0.0,0.0,0.0
480,Pick up snack packages,0,8,0.0,0.0,0.0
481,Walk towards shelves,13,3,0.0,0.0,0.0
482,Pick up snack package,0,0,0.0,0.0,0.0
483,Organize snacks in box,0,0,0.0,0.0,0.0
484,Reach for snack package,0,10,0.0,0.0,0.0
485,Adjust snack package,0,5,0.0,0.0,0.0
486,Open cardboard box,0,0,0.0,0.0,0.0
487,Remove cardboard flap,0,4,0.0,0.0,0.0
488,Align plastic containers,0,0,0.0,0.0,0.0
489,Reach for items,0,0,0.0,0.0,0.0
490,Adjust containers on shelf,0,0,0.0,0.0,0.0
491,Adjust container position,0,0,0.0,0.0,0.0
492,Withdraw hand,0,0,0.0,0.0,0.0
493,Place container on shelf,0,0,0.0,0.0,0.0
494,Pick up item from shelf,0,0,0.0,0.0,0.0
495,Place item in shopping bag,0,1,0.0,0.0,0.0
496,Reach for item,0,0,0.0,0.0,0.0
497,Grasp item,0,0,0.0,0.0,0.0
498,Move item to bag,0,0,0.0,0.0,0.0
499,Organize item on shelf,0,0,0.0,0.0,0.0
500,Pick up plush toy,0,0,0.0,0.0,0.0
501,Place plush toy into bag,0,2,0.0,0.0,0.0
502,Grasp shopping bag,0,0,0.0,0.0,0.0
503,Prepare to place item in bag,0,0,0.0,0.0,0.0
504,Organize bag contents,0,0,0.0,0.0,0.0
505,Grasp and retrieve item,0,0,0.0,0.0,0.0
506,Place item into shopping bag,0,0,0.0,0.0,0.0
507,Sort star-shaped beads,16,0,0.0,0.0,0.0
508,Sort beads on the table,0,0,0.0,0.0,0.0
509,Sort beads on table,0,0,0.0,0.0,0.0
510,Hold instructional sign,0,21,0.0,0.0,0.0
511,Pick up star-shaped bead,0,0,0.0,0.0,0.0
512,Place bead on table,0,8,0.0,0.0,0.0
513,Reposition sign and organize beads,0,3,0.0,0.0,0.0
514,Reposition ruler and pen,0,0,0.0,0.0,0.0
515,Reposition pen and prepare for next line,0,0,0.0,0.0,0.0
